status,business_unit_raw,business_unit_key,legacy_metric_name,catalog_metric_name,reason,row_count
loaded,Москва,b2c_moscow,Youtube_бюджет,Marketing costs,,3
loaded,Москва,b2c_moscow,Аренда помещения,Cost article - Аренда и коммуналка,,63
loaded,Москва,b2c_moscow,Банковское обслуживание,Cost article - КОМИССИИ БАНКОВ,,60
loaded,Москва,b2c_moscow,Возвраты,Returns amount,,33
loaded,Москва,b2c_moscow,Выручка_сертификаты,Revenue,,19
loaded,Москва,b2c_moscow,Гостей,Number of show visitors,,128
loaded,Москва,b2c_moscow,Комиссии платежных систем,Cost article - Комиссия,,63
loaded,Москва,b2c_moscow,Комиссии платежных систем (агрегаторы),Cost article - Комиссия,,42
loaded,Москва,b2c_moscow,Комиссии платежных систем (агрегаторы_МДТЗК),Cost article - Комиссия,,26
loaded,Москва,b2c_moscow,Контекстная реклама_бюджет_ритейл,Marketing costs,,54
loaded,Москва,b2c_moscow,Налог страховые взносы,Cost article - Страховые взносы,,14
loaded,Москва,b2c_moscow,Проведено шоу,Number of shows,,63
loaded,Москва,b2c_moscow,Прочие расходы,Cost article - Другое,,38
loaded,Москва,b2c_moscow,"Размещение у блогеров, афишах, дзене, паблики_бюджет",Marketing costs,,38
loaded,Москва,b2c_moscow,Реализация_шоу,Revenue,,12
loaded,Москва,b2c_moscow,Реквизит для проведения спектаклей,Cost article - Реквизит/костюмы,,31
loaded,Москва,b2c_moscow,Таргетированная реклама_бюджет,Marketing costs,,33
loaded,Москва,b2c_moscow,Уборка помещения,Cost article - Уборка,,63
loaded,Спб,b2c_spb,Аренда помещения и коммуналка,Cost article - Аренда и коммуналка,,11
loaded,Спб,b2c_spb,Возвраты,Returns amount,,6
loaded,Спб,b2c_spb,Выручка_сертификаты,Revenue,,11
loaded,Спб,b2c_spb,Гостей,Number of show visitors,,12
loaded,Спб,b2c_spb,Комиссии платежных систем,Cost article - Комиссия,,10
loaded,Спб,b2c_spb,Комиссии платежных систем (агрегаторы),Cost article - Комиссия,,11
loaded,Спб,b2c_spb,Комиссии платежных систем (агрегаторы_ДТЗК),Cost article - Комиссия,,11
loaded,Спб,b2c_spb,Контекст_бюджет_ритейл,Marketing costs,,11
loaded,Спб,b2c_spb,Проведено шоу,Number of shows,,11
loaded,Спб,b2c_spb,Прочие расходы,Cost article - Другое,,7
loaded,Спб,b2c_spb,"Размещение у блогеров, афишах, дзене, паблики",Marketing costs,,11
loaded,Спб,b2c_spb,Реализация шоу,Revenue,,11
loaded,Спб,b2c_spb,Реквизит для проведения спектаклей,Cost article - Реквизит/костюмы,,9
loaded,Спб,b2c_spb,Уборка помещения,Cost article - Уборка,,11
loaded,Франшиза,franchise,Франшиза,Revenue,,8
skipped,B2B,b2b,%к выручке,,no_catalog_mapping,24
skipped,B2B,b2b,Другие затраты_Спецпроекты СД,,no_catalog_mapping,1
skipped,B2B,b2b,Корпоратив,,no_catalog_mapping,11
skipped,B2B,b2b,Прибыль_корпоратив Москва,,no_catalog_mapping,19
skipped,B2B,b2b,Прибыль_корпоратив Петербург,,no_catalog_mapping,1
skipped,B2B,b2b,Прибыль_корпоратив общая,,no_catalog_mapping,1
skipped,B2B,b2b,Спецпроекты_СД,,no_catalog_mapping,7
skipped,B2B,b2b,Спецпроекты_СД_з/п актеров,,no_catalog_mapping,6
skipped,B2B,b2b,Спецпроекты_классический репертуар,,no_catalog_mapping,4
skipped,B2B,b2b,Спецпроекты_классический репуртуар_з/п актеров,,no_catalog_mapping,4
skipped,B2B,b2b,Спецпроекты_корпоративы,,no_catalog_mapping,35
skipped,B2B,b2b,Спецпроекты_корпоративы_з/п актеров,,no_catalog_mapping,15
skipped,B2B,b2b,Спецпроекты_корпоративы_з/п креативная команда,,no_catalog_mapping,16
skipped,B2B,b2b,Спецпроекты_костюмы и реквизит,,no_catalog_mapping,9
skipped,B2B,b2b,Спецпроекты_онлайн,,no_catalog_mapping,4
skipped,B2B,b2b,Спецпроекты_онлайн_з/п актеров,,no_catalog_mapping,1
skipped,B2B,b2b,Спецпроекты_разные услуги,,no_catalog_mapping,9
skipped,Москва,b2c_moscow,% ФОТ в выручке СД,,no_catalog_mapping,30
skipped,Москва,b2c_moscow,% ФОТ в выручке ШОУ,,no_catalog_mapping,63
skipped,Москва,b2c_moscow,% инвестиций от выручки,,no_catalog_mapping,50
skipped,Москва,b2c_moscow,% к выручке,,no_catalog_mapping,5
skipped,Москва,b2c_moscow,% отнесения на выручку,,no_catalog_mapping,57
skipped,Москва,b2c_moscow,%заполняемости,,no_catalog_mapping,128
skipped,Москва,b2c_moscow,%к выручке,,no_catalog_mapping,67
skipped,Москва,b2c_moscow,PR,,no_catalog_mapping,18
skipped,Москва,b2c_moscow,Youtube_ведение,,no_catalog_mapping,3
skipped,Москва,b2c_moscow,Выручка_сертификаты,Revenue,non_numeric_value,38
skipped,Москва,b2c_moscow,Выручка_сертификаты с понижающем кэфом,,no_catalog_mapping,57
skipped,Москва,b2c_moscow,"Доработка софта, озвучка и пр",,no_catalog_mapping,18
skipped,Москва,b2c_moscow,Европейская франшиза,,no_catalog_mapping,1
skipped,Москва,b2c_moscow,З/п бонус Митя_СД,,no_catalog_mapping,25
skipped,Москва,b2c_moscow,З/п бонус админа_корпоратив,,no_catalog_mapping,3
skipped,Москва,b2c_moscow,З/п бонус админа_корпоратив театр,,no_catalog_mapping,16
skipped,Москва,b2c_moscow,"ЗП  управляющего, администратора, второго дминистратора, креативного директора,  худрука, завхоз, корпорат менеджера",,no_catalog_mapping,63
skipped,Москва,b2c_moscow,ЗП актеров по начислению_ классический репертуар,,no_catalog_mapping,63
