source_business_unit;canonical_business_unit;source_label;mapped_layer;mapped_metric;mapping_type;status;note;upd_layer;upd_metric;upd_note;codex_layer_suggestion;codex_metric_options;codex_note
Москва;b2c_moscow;Проведено шоу оффлайн;unmapped;;;review_needed;;exclude;;;exclude;Number of shows;keep excluded unless you want offline/online split as a separate contour
Москва;b2c_moscow;Проведено шоу онлайн;unmapped;;;review_needed;;exclude;;;exclude;Number of shows;keep excluded unless you want offline/online split as a separate contour
Москва;b2c_moscow;Средняя цена одного билета;unmapped;;;review_needed;;calculated;;;calculated;exclude;"no existing canonical calculated metric yet; likely Revenue / Number of tickets"
Москва;b2c_moscow;% отнесения на выручку;unmapped;;;review_needed;;calculated;;Это то, как мы относим проданные сертификаты к выручке здесь и сейчас;calculated;exclude;looks derived from certificate attribution / allocation logic
Общее;general;Расчетная выручка периода (по реализации);unmapped;;;review_needed;;;;;fact;Revenue;if this is the monthly recognized revenue figure, Revenue is the closest existing canonical metric
Москва;b2c_moscow;% ФОТ в выручке ШОУ;unmapped;;;review_needed;;calculated;;;calculated;доля переменных зп в выручке, exclude;closest existing calculated metric is variable-salary share of revenue, but semantics may differ
Москва;b2c_moscow;% ФОТ в выручке СД;unmapped;;;review_needed;;exclude;;это расчетное значение для конкретного show name;calculated;exclude;show-name- or SD-specific derived metric, not a clean existing canonical formula
Москва;b2c_moscow;Продажи актеров;unmapped;;;review_needed;;metrics;;Давай заведем - это то, что актеры продают после спектаклей;fact;Revenue, Revenue - Other;"post-show actor sales look like revenue; prefer Revenue if we stay strict on one revenue metric"
Москва;b2c_moscow;Иные выплаты актерам, надбавки;unmapped;;;review_needed;;metrics;;По-моему, есть что-то вроде премий;fact;Costs - Salary variable, Cost article - Премии актёры, Cost article - Актёры ФОТ;looks like actor bonuses / add-ons rather than fixed salary
B2B;b2b;Другие затраты_Спецпроекты СД;unmapped;;;review_needed;;metrics;;это расходы на проведение B2B;fact;Cost article - Расходы на B2B (продакшн), Show production costs, Operating expenses;B2B SD special-project production cost
Франшиза;franchise;Затраты франшиза Китай;unmapped;;;review_needed;;metrics;;это затраты на бизнес юнит franchise, можно слить воедино;fact;Cost article - Другое, Operating expenses;franchise-unit expense without a more specific existing article
Франшиза;franchise;Затраты на реквизит для партнеров франшиза;unmapped;;;review_needed;;metrics;;это затраты на бизнес юнит franchise, можно слить воедино;fact;Cost article - Реквизит/костюмы, Show production costs;closest existing props/costumes bucket
Москва;b2c_moscow;Банковское обслуживание;unmapped;;;review_needed;;metrics;;это есть в P&L;fact;Cost article - КОМИССИИ БАНКОВ, Cost article - Комиссия;bank servicing looks closest to bank commissions / service fees
Москва;b2c_moscow;Налог6%;unmapped;;;review_needed;;metrics;;это есть в P&L;fact;Cost article - Налог на прибыль (доходы), Taxes and contributions;prefer the more specific tax article if this is exactly the 6% tax
Москва;b2c_moscow;Налог страховые взносы;unmapped;;;review_needed;;metrics;;это есть в P&L;fact;Cost article - Страховые взносы, Taxes and contributions;prefer the specific insurance-contributions article
Общее;general;Итого переменные расходы;unmapped;;;review_needed;;metrics, calculated;;Суммарные переменные расходы, хочу чтобы были и там, и там (кажется есть в p&l);fact;Costs - Salary variable;existing canonical metric already fits this subtotal best
Общее;general;Маржинальный доход;unmapped;;;review_needed;;calculated;;;calculated;exclude;"looks like Revenue minus variable costs; no existing canonical calculated metric yet"
Общее;general;% переменных расходов к выручке;unmapped;;;review_needed;;calculated;;;calculated;доля переменных зп в выручке, exclude;closest existing calculated metric may be too narrow if variable costs mean more than salary
Москва;b2c_moscow;Рилс-мэйкинг;unmapped;;;review_needed;;metrics;;Можно засунуть в статью матректинговые расходы;fact;Marketing costs;looks like a marketing production expense
Франшиза;franchise;Продвижение франшизы;unmapped;;;review_needed;;metrics;;Маркетинговые расходы юнита франшиза;fact;Marketing costs;franchise-unit marketing expense
Москва;b2c_moscow;Прочие расходы на рекламу;unmapped;;;review_needed;;metrics;;Marketing Cost - others;fact;Marketing costs;prefer the unified marketing metric
Общее;general;Итого расходы на маркетинг;unmapped;;;review_needed;;metrics, calculated;;Суммарные расходы на маркетинг, хочу чтобы были и там, и там (кажется есть в p&l);fact;Marketing costs;existing canonical rollup already exists
Общее;general;% к марже;unmapped;;;review_needed;;calculated;;;calculated;exclude;derived ratio without an existing canonical equivalent
