metric_key,metric_name,legacy_group,mapping_type,legacy_mapping_status,notes
number_of_tickets,Number of tickets,Всего билетов (выкуплено через сайт и все агрегаторы),covered,covered_and_partial,"Ticket count block fits directly. | Ticket total is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_show_visitors,Number of show visitors,Зрители дошедшие (без зрителей СД),covered,covered_and_partial,"Attended visitors are covered. | Visitor concept is covered, but certificate-specific split is not modeled separately. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_show_visitors,Number of show visitors,Зрители дошедшие СД,covered,covered_and_partial,"Attended visitors are covered. | Visitor concept is covered, but certificate-specific split is not modeled separately. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_show_visitors,Number of show visitors,Зрители по сертификатам,partial,covered_and_partial,"Attended visitors are covered. | Visitor concept is covered, but certificate-specific split is not modeled separately. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_creative_meetings,Number of creative meetings,КОРПОРАТИВЫ,partial,partial_only,"Lead funnel is covered, but current legacy labels do not map 1-to-1."
number_of_leads,Number of leads,КОРПОРАТИВЫ,partial,partial_only,"Lead funnel is covered, but current legacy labels do not map 1-to-1. | Franchise block is partially represented."
marketing_costs,Marketing costs,Маркетинг Каналы,covered,covered,Weekly marketing cost block is already explicitly modeled.
quality_external,Quality - External,ОТЗЫВЫ,partial,partial_only,"External quality is covered, but exact rating/review sub-metrics are richer in legacy data. | Franchise block is partially represented."
quality_external,Quality - External,ОТЗЫВЫ НА ЯНДЕКСЕ,partial,partial_only,"External quality is covered, but exact rating/review sub-metrics are richer in legacy data. | Franchise block is partially represented."
number_of_source_attribution_responses,Number of source-attribution responses,Откуда пришли,covered,covered_and_partial,"Legacy ""Откуда пришли"" block maps to base count metric; share should be derived later from counts."
number_of_shows_cancelled,Number of shows cancelled,Отменено СД,covered,covered_and_partial,"Cancelled show count is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_shows_cancelled,Number of shows cancelled,Отменено шоу (не СД),covered,covered_and_partial,"Cancelled show count is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_certificates,Number of certificates,Поступления на счет,partial,partial_only,"Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model. | Certificate count/revenue are covered, but partner/channel decomposition is richer in legacy data."
number_of_source_attribution_responses,Number of source-attribution responses,Поступления на счет,partial,covered_and_partial,"Legacy ""Откуда пришли"" block maps to base count metric; share should be derived later from counts."
revenue,Revenue,Поступления на счет,partial,covered_and_partial,"Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model. | Direct revenue aggregate already fits the new model. | Core site metrics are covered, but this block also contains legacy special slices. | Certificate count/revenue are covered, but partner/channel decomposition is richer in legacy data. | Revenue exists in the new model, but legacy franchise group is too narrow and underspecified."
revenue,Revenue,Поступления на счет - B2C,covered,covered_and_partial,"Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model. | Direct revenue aggregate already fits the new model. | Core site metrics are covered, but this block also contains legacy special slices. | Certificate count/revenue are covered, but partner/channel decomposition is richer in legacy data. | Revenue exists in the new model, but legacy franchise group is too narrow and underspecified."
account_balance,Account balance,Приход с депозита,partial,covered_and_partial,"Related to cash/balance, but not a first-class metric in the new model. | Balance metric fits directly."
number_of_shows,Number of shows,Проведено СД,covered,covered_and_partial,"Show count is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_shows,Number of shows,Проведено шоу (БЕЗ СД),covered,covered_and_partial,"Show count is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_orders,Number of orders,САЙТ,partial,partial_only,"Core site metrics are covered, but legacy site block contains extra derived ratios. | Core site metrics are covered, but this block also contains legacy special slices."
revenue,Revenue,САЙТ,partial,covered_and_partial,"Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model. | Direct revenue aggregate already fits the new model. | Core site metrics are covered, but this block also contains legacy special slices. | Certificate count/revenue are covered, but partner/channel decomposition is richer in legacy data. | Revenue exists in the new model, but legacy franchise group is too narrow and underspecified."
website_visits,Website visits,САЙТ,partial,partial_only,"Core site metrics are covered, but legacy site block contains extra derived ratios. | Core site metrics are covered, but this block also contains legacy special slices."
number_of_orders,Number of orders,Сайт,partial,partial_only,"Core site metrics are covered, but legacy site block contains extra derived ratios. | Core site metrics are covered, but this block also contains legacy special slices."
number_of_show_visitors,Number of show visitors,Сайт,partial,covered_and_partial,"Attended visitors are covered. | Visitor concept is covered, but certificate-specific split is not modeled separately. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_shows,Number of shows,Сайт,partial,covered_and_partial,"Show count is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_shows_cancelled,Number of shows cancelled,Сайт,partial,covered_and_partial,"Cancelled show count is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_tickets,Number of tickets,Сайт,partial,covered_and_partial,"Ticket count block fits directly. | Ticket total is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
website_visits,Website visits,Сайт,partial,partial_only,"Core site metrics are covered, but legacy site block contains extra derived ratios. | Core site metrics are covered, but this block also contains legacy special slices."
number_of_certificates,Number of certificates,Сертификаты (продажи),partial,partial_only,"Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model. | Certificate count/revenue are covered, but partner/channel decomposition is richer in legacy data."
revenue,Revenue,Сертификаты (продажи),partial,covered_and_partial,"Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model. | Direct revenue aggregate already fits the new model. | Core site metrics are covered, but this block also contains legacy special slices. | Certificate count/revenue are covered, but partner/channel decomposition is richer in legacy data. | Revenue exists in the new model, but legacy franchise group is too narrow and underspecified."
account_balance,Account balance,Средств на счете,covered,covered_and_partial,"Related to cash/balance, but not a first-class metric in the new model. | Balance metric fits directly."
number_of_leads,Number of leads,ФРАНШИЗА,partial,partial_only,"Lead funnel is covered, but current legacy labels do not map 1-to-1. | Franchise block is partially represented."
quality_external,Quality - External,ФРАНШИЗА,partial,partial_only,"External quality is covered, but exact rating/review sub-metrics are richer in legacy data. | Franchise block is partially represented."
revenue,Revenue,Франшиза,partial,covered_and_partial,"Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model. | Direct revenue aggregate already fits the new model. | Core site metrics are covered, but this block also contains legacy special slices. | Certificate count/revenue are covered, but partner/channel decomposition is richer in legacy data. | Revenue exists in the new model, but legacy franchise group is too narrow and underspecified."
number_of_tickets,Number of tickets,билеты,covered,covered_and_partial,"Ticket count block fits directly. | Ticket total is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_tickets,Number of tickets,билеты сд,covered,covered_and_partial,"Ticket count block fits directly. | Ticket total is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
