calculated_metric_key,calculated_metric_name,period_granularity,business_unit,show_name,partner_name,channel_name,value_kind,formula_type,numerator_metric_key,denominator_metric_key,status,version,notes
average_sd_load_legacy,Средняя загрузка СД,week,b2c_spb,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending legacy label normalization from live manual tables review.
average_sd_load_sold_tickets,Средняя загрузка СД (выкупленные билеты),week,b2c_moscow,general,general,general,ratio,ratio_of_sums,,,pending,v1,Reserved for calculated layer; automatic formula waits for explicit SD numerator and denominator contour.
average_sd_load_sold_tickets,Средняя загрузка СД (выкупленные билеты),week,b2c_spb,general,general,general,ratio,ratio_of_sums,,,pending,v1,Reserved for calculated layer; automatic formula waits for explicit SD numerator and denominator contour.
average_sd_load_visitors,Средняя загрузка СД (по факту дошедшие зрители),week,b2c_moscow,general,general,general,ratio,ratio_of_sums,,,pending,v1,Reserved for calculated layer; automatic formula waits for explicit SD numerator and denominator contour.
average_sd_load_visitors,Средняя загрузка СД (по факту дошедшие зрители),week,b2c_spb,general,general,general,ratio,ratio_of_sums,,,pending,v1,Reserved for calculated layer; automatic formula waits for explicit SD numerator and denominator contour.
average_show_load_legacy,Средняя загрузка шоу,week,b2c_spb,general,general,general,ratio,ratio_of_sums,,,pending,v1,Pending legacy label normalization from live manual tables review.
average_show_load_sold_tickets,Средняя загрузка шоу (выкупленные билеты),week,b2c_moscow,general,general,general,ratio,ratio_of_sums,number_of_tickets,number_of_shows,active,v1,Weekly unit-level average show load from sold tickets.
average_show_load_sold_tickets,Средняя загрузка шоу (выкупленные билеты),week,b2c_spb,general,general,general,ratio,ratio_of_sums,number_of_tickets,number_of_shows,active,v1,Weekly unit-level average show load from sold tickets.
average_show_load_visitors,Средняя загрузка шоу (по факту дошедшие зрители),week,b2c_moscow,b2c_show_names,general,general,ratio,ratio_of_sums,number_of_show_visitors,number_of_shows,active,v1,Weekly show-level average actual load from visitors divided by shows.
average_show_load_visitors,Средняя загрузка шоу (по факту дошедшие зрители),week,b2c_moscow,general,general,general,ratio,ratio_of_sums,number_of_show_visitors,number_of_shows,active,v1,Weekly unit-level average show load from actual visitors.
average_show_load_visitors,Средняя загрузка шоу (по факту дошедшие зрители),week,b2c_spb,b2c_show_names,general,general,ratio,ratio_of_sums,number_of_show_visitors,number_of_shows,active,v1,Weekly show-level average actual load from visitors divided by shows.
average_show_load_visitors,Средняя загрузка шоу (по факту дошедшие зрители),week,b2c_spb,general,general,general,ratio,ratio_of_sums,number_of_show_visitors,number_of_shows,active,v1,Weekly unit-level average show load from actual visitors.
average_tickets_per_order,Среднее количество билетов в заказе,week,b2c_moscow,b2c_show_names,general,general,ratio,ratio_of_sums,number_of_tickets,number_of_orders,active,v1,Weekly show-level average tickets per order.
average_tickets_per_order,Среднее количество билетов в заказе,week,b2c_spb,b2c_show_names,general,general,ratio,ratio_of_sums,number_of_tickets,number_of_orders,active,v1,Weekly show-level average tickets per order.
average_ticket_price,Средняя цена одного билета,month,b2c_moscow,general,general,general,ratio,ratio_of_sums,revenue,number_of_tickets,draft,v0,Average ticket price as revenue divided by number of tickets.
certificate_revenue_allocation_share,% отнесения на выручку,month,b2c_moscow,certificate,general,general,ratio,manual_definition_pending,,,draft,v0,Certificate allocation helper ratio from historical sheet.
certificate_revenue_allocation_share,% отнесения на выручку,month,b2c_spb,certificate,general,general,ratio,manual_definition_pending,,,draft,v0,Certificate allocation helper ratio from historical sheet.
