row_number,col_a,col_b,ingestion_action,target_metric_or_metrics,import_as_source,layer,note
1,Дата,Дата,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
2,Диапазон,Диапазон,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
3,Дата для klipfolio,Дата для klipfolio,exclude,,no,exclude,"Техническая дата, не метрика."
4,Поступления на счет,Поступления на счет,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
5,Поступления на счет - B2C,Поступления на счет - B2C,map_to_metric,Revenue,yes,source,Observed revenue metric.
6,Из них агрегаторы (вычет комиссии),Из них агрегаторы (вычет комиссии),exclude,,no,exclude,"Legacy aggregate, не как отдельный fact."
7,Из них агрегаторы (вычет комиссии)МДТЗК,Из них агрегаторы (вычет комиссии)МДТЗК,exclude,,no,exclude,"Legacy aggregate, не как отдельный fact."
8,билеты,билеты,map_to_metric,Number of tickets,yes,source,Observed tickets metric.
9,билеты,билеты виджет (сайт),map_to_metric,Number of tickets,yes,source,Partner split for tickets.
10,билеты,билеты яндекс афиша,map_to_metric,Number of tickets,yes,source,Partner split for tickets.
11,билеты,билеты от остальных агрегаторов,map_to_metric,Number of tickets,yes,source,Partner split for tickets.
12,билеты,афиша.ру,map_to_metric,Number of tickets,yes,source,Partner split for tickets.
13,билеты,кассир,map_to_metric,Number of tickets,yes,source,Partner split for tickets.
14,билеты,тикетленд,map_to_metric,Number of tickets,yes,source,Partner split for tickets.
15,билеты сд,билеты сд,map_to_metric,Number of tickets,yes,source,Observed tickets metric.
16,билеты сд,билет сд виджет (сайт),map_to_metric,Number of tickets,yes,source,Partner split for tickets.
17,билеты сд,билеты сд яндекс афиша,map_to_metric,Number of tickets,yes,source,Partner split for tickets.
18,билеты сд,билеты сд от остальных агрегаторов,map_to_metric,Number of tickets,yes,source,Partner split for tickets.
19,билеты сд,афиша.ру,map_to_metric,Number of tickets,yes,source,Partner split for tickets.
20,билеты сд,кассир,map_to_metric,Number of tickets,yes,source,Partner split for tickets.
21,билеты сд,тикетленд,map_to_metric,Number of tickets,yes,source,Partner split for tickets.
22,Сертификаты (продажи),Сертификаты (продажи),map_to_metric,Revenue; Number of certificates,yes,source,Observed certificate sales block.
23,Сертификаты (продажи),сертификаты электронные,map_to_metric,Revenue; Number of certificates,yes,source,Partner split for certificates.
24,Сертификаты (продажи),сертификаты бумажные,map_to_metric,Revenue; Number of certificates,yes,source,Partner split for certificates.
25,Сертификаты (продажи),сертификаты через партнеров,map_to_metric,Revenue; Number of certificates,yes,source,Partner split for certificates.
26,Сертификаты (продажи),доля сертификатов в выручке,defer_to_calculated,,no,calculated,Ratio / calculated metric.
27,Спецпоказы (продажи) юкасса\по счету,Спецпоказы (продажи) юкасса\по счету,map_to_metric,Revenue - Other,yes,source,Observed revenue metric.
28,Другое юкасса,Другое юкасса,map_to_metric,Revenue - Other,yes,source,Observed revenue metric.
29,корпоратив,корпоратив,review_needed,,no,exclude,Нужно руками уточнить интерпретацию.
30,Сертификаты и билеты (бесплатные),Сертификаты и билеты (бесплатные),map_to_metric,Number of free certificates and tickets,yes,source,Observed metric.
31,Франшиза,Франшиза,map_to_metric,Revenue,yes,source,Observed revenue for business_unit=franchise.
32,Средств на счете,Средств на счете,map_to_metric,Account balance,yes,source,Observed balance metric.
33,Приход с депозита,Приход с депозита,map_to_metric,Revenue - Financial operations,yes,source,Observed financial operations metric.
34,Сумма возвратов,Сумма возвратов,map_to_metric,Returns amount,yes,source,Observed returns amount.
