db_metric_group,ingestion_action,target_metric_or_metrics,import_as_source,layer,note
билеты,map_to_metric,Number of tickets,yes,source,Импортируем как факты по ticket-related срезам.
билеты сд,map_to_metric,Number of tickets,yes,source,Импортируем как факты по ticket-related срезам.
Всего билетов (выкуплено через сайт и все агрегаторы),map_to_metric,Number of tickets,yes,source,Общий weekly total билетов.
Даня Рагин,exclude,,no,exclude,"Legacy персональный блок, не тащим в новый факт-слой."
Дата для klipfolio,exclude,,no,exclude,"Техническая дата, не метрика."
Другое юкасса,map_to_metric,Revenue - Other,yes,source,Прямая денежная метрика.
Зрители дошедшие (без зрителей СД),map_to_metric,Number of show visitors,yes,source,Наблюдаемая weekly метрика зрителей.
Зрители дошедшие СД,map_to_metric,Number of show visitors,yes,source,Наблюдаемая weekly метрика зрителей.
Зрители по сертификатам,map_to_metric,Number of certificate visitors,yes,source,Отдельная наблюдаемая метрика.
Из них,decompose_block,Number of deaths on OG; Share of OG where viewers went for paramedic and survived; Share of OG where viewers did not go for paramedic and did not survive; Share of OG with one murder; Share of OG with deaths on paramedic; Share of OG with murders; Share of OG with more than one murder; Share killed of total viewers passed through master on OG,no,exclude,Это контейнерный блок; импортировать его как одну метрику не надо.
Из них агрегаторы (вычет комиссии),exclude,,no,exclude,"Legacy агрегат, в новый факт-слой как отдельную метрику не тащим."
Из них агрегаторы (вычет комиссии)МДТЗК,exclude,,no,exclude,"Legacy агрегат, в новый факт-слой как отдельную метрику не тащим."
Количество погибших всего на ОГ,map_to_metric,Number of deaths on OG,yes,source,Отдельная наблюдаемая weekly метрика.
корпоратив,exclude,,no,exclude,"Legacy standalone строка, без полезной канонической интерпретации."
КОРПОРАТИВЫ,decompose_block,Number of leads; Number of creative meetings,no,exclude,"Это блок воронки; тянуть нужно вложенные метрики, не сам block row."
Маркетинг Каналы,decompose_block,Marketing costs,no,exclude,Это блок ручной маркетинговой детализации по каналам.
Ник,exclude,,no,exclude,"Legacy персональный блок, не тащим."
ОКК,decompose_block,Quality - Internal; Number of deaths on OG; Share of OG where viewers went for paramedic and survived; Share of OG where viewers did not go for paramedic and did not survive; Share of OG with one murder; Share of OG with deaths on paramedic; Share of OG with murders; Share of OG with more than one murder; Share killed of total viewers passed through master on OG,no,exclude,Block internal quality / incident metrics.
ОТЗЫВЫ,decompose_block,Quality - External,no,exclude,"Block внешнего качества, нужно тянуть вложенные метрики."
ОТЗЫВЫ НА ЯНДЕКСЕ,decompose_block,Quality - External,no,exclude,"Block внешнего качества, нужно тянуть вложенные метрики."
