row_number,source_business_unit,source_label,formula_or_input,filled_cell_count,layer,canonical_metric,business_unit,show,channel,agent,merge_rule,mapping_status,mapping_note
19,Москва,Реализация_шоу,formula,65,fact,Revenue,b2c_moscow,general,general,general,sum,mapped,
22,Москва,Реализация_СД,formula,32,fact,Revenue,b2c_moscow,sd,general,general,sum,mapped,
25,B2B,Спецпроекты_корпоративы,formula,37,fact,Revenue,b2b,general,general,general,sum,mapped,
27,B2B,Спецпроекты_классический репертуар,formula,6,fact,Revenue,b2b,general,general,general,sum,mapped,
29,B2B,Спецпроекты_СД,formula,9,fact,Revenue,b2b,sd,general,general,sum,mapped,
31,B2B,Спецпроекты_онлайн,input,6,fact,Revenue,b2b,online,general,general,sum,mapped,
34,Москва,Выручка_сертификаты с понижающем кэфом,formula,59,fact,Revenue,b2c_moscow,certificate,general,general,sum,mapped,
37,Франшиза,Франшиза_паушалка,input,13,fact,Revenue,franchise,general,general,general,sum,mapped,
38,Франшиза,Франшиза_роялти,formula,11,fact,Revenue,franchise,general,general,general,sum,mapped,
39,Франшиза,Франшиза_тотал,formula,12,fact,Revenue,franchise,general,general,general,sum,mapped,
40,Франшиза,Франшиза Китай,input,5,fact,Revenue,franchise,general,general,general,sum,mapped,
44,Москва,ЗП актеров по начислению_ классический репертуар,formula,65,fact,Costs - Salary variable,b2c_moscow,general,general,general,sum,mapped,actor payroll belongs to variable salary
46,Москва,Зарплаты на 1 шоу,formula,17,fact,Costs - Salary variable,b2c_moscow,,general,general,sum,mapped,
47,Москва,ЗП актеров-Судный день,formula,32,fact,Costs - Salary variable,b2c_moscow,sd,general,general,sum,mapped,show-linked actor payroll belongs to variable salary
49,Москва,Зарплата на 1 СД,formula,17,fact,Costs - Salary variable,b2c_moscow,,general,general,sum,mapped,
50,Москва,Продажи актеров,formula,24,fact,Actor upsell sales,b2c_moscow,general,general,general,sum,mapped_from_user_review,"Давай заведем - это то, что актеры продают после спектаклей"
51,Москва,З/п бонус админа_корпоратив,formula,5,fact,Costs - Salary fixed,b2c_moscow,,general,general,sum,mapped,
52,Москва,З/п бонус админа_корпоратив театр,formula,18,fact,Costs - Salary fixed,b2c_moscow,,general,general,sum,mapped,
53,Москва,З/п бонус Митя_СД,formula,27,fact,Costs - Salary fixed,b2c_moscow,,general,general,sum,mapped,
54,Москва,З/п бонус Иное место Андрея,input,2,fact,Costs - Salary fixed,b2c_moscow,,general,general,sum,mapped,
55,B2B,Спецпроекты_корпоративы_з/п актеров,formula,17,fact,Costs - Salary variable,b2b,general,general,general,sum,mapped,
56,B2B,Спецпроекты_корпоративы_з/п креативная команда,formula,18,fact,Costs - Salary variable,b2b,general,general,general,sum,mapped,
57,Москва,"Иные выплаты актерам, надбавки",formula,26,fact,Costs - Salary variable,b2c_moscow,general,general,general,sum,mapped_from_user_review,"По-моему, есть что-то вроде премий"
58,B2B,Спецпроекты_костюмы и реквизит,formula,11,fact,Show production costs,b2b,general,general,general,sum,mapped,
59,B2B,Спецпроекты_разные услуги,formula,11,fact,Other expenses,b2b,general,general,general,sum,mapped,
60,B2B,Спецпроекты_классический репуртуар_з/п актеров,input,6,fact,Costs - Salary variable,b2b,general,general,general,sum,mapped,
61,B2B,Спецпроекты_СД_з/п актеров,input,8,fact,Costs - Salary variable,b2b,SD,general,general,sum,mapped,
62,B2B,Другие затраты_Спецпроекты СД,input,3,fact,Show production costs,b2b,sd,general,general,sum,mapped_from_user_review,это расходы на проведение B2B
63,B2B,Спецпроекты_онлайн_з/п актеров,input,3,fact,Costs - Salary variable,b2b,Online,general,general,sum,mapped,
64,Франшиза,З/п запуск партнеров франшиза,input,9,fact,Costs - Salary fixed,franchise,,general,general,sum,mapped,
65,Франшиза,Затраты франшиза Китай,input,3,fact,Other expenses,franchise,general,general,general,sum,mapped_from_user_review,"это затраты на бизнес юнит franchise, можно слить воедино"
66,Франшиза,Затраты на реквизит для партнеров франшиза,formula,9,fact,Show production costs,franchise,general,general,general,sum,mapped_from_user_review,"это затраты на бизнес юнит franchise, можно слить воедино"
67,Москва,Комиссии платежных систем,formula,65,fact,Cost article - Комиссия,b2c_moscow,general,general,general,sum,mapped,
68,Москва,Комиссии платежных систем (агрегаторы),formula,44,fact,Cost article - Комиссия,b2c_moscow,general,general,general,sum,mapped,
69,Москва,Комиссии платежных систем (агрегаторы_МДТЗК),formula,28,fact,Cost article - Комиссия,b2c_moscow,general,general,general,sum,mapped,
70,Москва,Комиссии за снятие наличных,input,39,fact,Cost article - Комиссия,b2c_moscow,general,general,general,sum,mapped,
71,Москва,Банковское обслуживание,formula,62,fact,Cost article - КОМИССИИ БАНКОВ,b2c_moscow,general,general,general,sum,mapped_from_user_review,это есть в P&L
72,Москва,Налог6%,formula,56,fact,Cost article - Налог на прибыль (доходы),b2c_moscow,general,general,general,sum,mapped_from_user_review,это есть в P&L
73,Москва,Налог страховые взносы,formula,16,fact,Cost article - Страховые взносы,b2c_moscow,general,general,general,sum,mapped_from_user_review,это есть в P&L
74,Москва,Возвраты,formula,35,fact,Returns amount,b2c_moscow,general,general,general,sum,mapped,
76,Москва,Логистика,formula,41,fact,Variable logistics costs,b2c_moscow,general,general,general,sum,mapped,
77,Москва,Прочие расходы,formula,40,fact,Other expenses,b2c_moscow,general,general,general,sum,mapped,
83,Москва,Контекстная реклама_бюджет_ритейл,formula,56,fact,Marketing costs,b2c_moscow,general,direct,general,sum,mapped,
84,Москва,Контекстная реклама_бюджет_франшиза,input,8,fact,Marketing costs,b2c_moscow,general,direct,general,sum,mapped,
85,Москва,Контекст_ведение_ритейл,input,55,fact,Marketing costs,b2c_moscow,general,direct,general,sum,mapped,
86,Москва,Контекст_ведение_франшиза,input,7,fact,Marketing costs,b2c_moscow,general,direct,general,sum,mapped,
87,Москва,Контекстна реклама_корпоратив,input,3,fact,Marketing costs,b2c_moscow,general,direct,general,sum,mapped,
88,Москва,Таргетированная реклама_бюджет,formula,35,fact,Marketing costs,b2c_moscow,general,smm,general,sum,mapped,
89,Москва,Таргетолог_ведение,formula,34,fact,Marketing costs,b2c_moscow,general,smm,general,sum,mapped,
90,Москва,Инстаграм_ведение,formula,58,fact,Marketing costs,b2c_moscow,general,smm,general,sum,mapped,
91,Москва,Тик-Ток_ведение,input,6,fact,Marketing costs,b2c_moscow,general,smm,general,sum,mapped,
92,Москва,Тик-Ток_бюджет,input,2,fact,Marketing costs,b2c_moscow,general,smm,general,sum,mapped,
93,Москва,Youtube_ведение,input,5,fact,Marketing costs,b2c_moscow,general,smm,general,sum,mapped,
94,Москва,Youtube_бюджет,input,5,fact,Marketing costs,b2c_moscow,general,smm,general,sum,mapped,
95,Москва,"Размещение у блогеров, афишах, дзене, паблики_бюджет",formula,40,fact,Marketing costs,b2c_moscow,general,pr,general,sum,mapped,
96,Москва,"Размещение у блогеров, афишах, дзене, паблики_ведение",input,6,fact,Marketing costs,b2c_moscow,general,pr,general,sum,mapped,
97,Москва,PR,input,20,fact,Marketing costs,b2c_moscow,general,pr,general,sum,mapped,
98,Москва,Кросс-промо / Интеграция в фестивали,formula,12,fact,Marketing costs,b2c_moscow,general,pr,general,sum,mapped,
99,Москва,Рилс-мэйкинг,input,2,fact,Marketing costs,b2c_moscow,general,smm,general,sum,mapped_from_user_review,Можно засунуть в статью матректинговые расходы
100,Франшиза,Продвижение франшизы,input,2,fact,Marketing costs,franchise,general,other,general,sum,mapped_from_user_review,Маркетинговые расходы юнита франшиза
101,Москва,Прочие расходы на рекламу,formula,35,fact,Marketing costs,b2c_moscow,general,other,general,sum,mapped_from_user_review,Marketing Cost - others
107,Москва,Аренда помещения,formula,65,fact,Venue and office costs,b2c_moscow,general,general,general,sum,mapped,
108,Москва,Электроэнергия,input,16,fact,Venue and office costs,b2c_moscow,general,general,general,sum,mapped_from_user_review,Учесть внутрь статьи Коммунальные расходы
109,Москва,"ЗП управляющего, администратора, второго дминистратора, креативного директора, худрука, завхоз, корпорат менеджера",formula,65,fact,Costs - Salary fixed,b2c_moscow,,general,general,sum,mapped,
110,Москва,ЗП директор фикс,formula,63,fact,Costs - Salary fixed,b2c_moscow,,general,general,sum,mapped,
111,Общее,Разработка и IT,formula,40,fact,Cost article - IT ФОТ,general,general,general,general,sum,mapped_from_user_review,
112,Москва,Подарки,formula,26,fact,Team expenses,b2c_moscow,general,general,general,sum,mapped,
113,Москва,Уборка помещения,formula,65,fact,Cost article - Уборка,b2c_moscow,general,general,general,sum,mapped,
114,Москва,Ремонт помещения,formula,26,fact,Cost article - Ремонт и обслуживание,b2c_moscow,general,general,general,sum,mapped,
115,Москва,Хоз.расходы на помещение,formula,65,fact,Cost article - Расходники (офисные),b2c_moscow,general,general,general,sum,mapped,
116,Москва,Расходы на проведение спектаклей,formula,9,fact,Show production costs,b2c_moscow,general,general,general,sum,mapped,
117,Москва,Реквизит для проведения спектаклей,formula,33,fact,Cost article - Реквизит/костюмы,b2c_moscow,general,general,general,sum,mapped,
118,Москва,Электронные и бухгалтерские сервисы,formula,65,fact,Services and setup costs,b2c_moscow,general,general,general,sum,mapped,
