row_number;col_a;col_b;ingestion_action_raw;ingestion_action;target_metric_or_metrics_raw;target_metric_or_metrics;source_system_override;import_as_source;layer;note
1;Дата;Дата;Дата начала периода;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
2;Диапазон;Диапазон;Две даты - можно exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
3;Дата для klipfolio;Дата для klipfolio;exclude;exclude;;;;no;exclude;Техническая дата, не метрика.
4;Поступления на счет;Поступления на счет;Exclude;exclude;;;;no;exclude;Нужно руками уточнить интерпретацию.
5;Поступления на счет - B2C;Поступления на счет - B2C;map_to_metric;map_to_metric;Revenue - MscB2c;Revenue;;yes;source;Observed revenue metric.
6;Из них агрегаторы (вычет комиссии);Из них агрегаторы (вычет комиссии);exclude;exclude;;;;no;exclude;Legacy aggregate, не как отдельный fact.
7;Из них агрегаторы (вычет комиссии)МДТЗК;Из них агрегаторы (вычет комиссии)МДТЗК;exclude;exclude;;;;no;exclude;Legacy aggregate, не как отдельный fact.
8;билеты;билеты;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Observed tickets metric.
9;билеты;билеты виджет (сайт);map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
10;билеты;билеты яндекс афиша;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
11;билеты;билеты от остальных агрегаторов;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
12;билеты;афиша.ру;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
13;билеты;кассир;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
14;билеты;тикетленд;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
15;билеты сд;билеты сд;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Observed tickets metric.
16;билеты сд;билет сд виджет (сайт);map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
17;билеты сд;билеты сд яндекс афиша;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
18;билеты сд;билеты сд от остальных агрегаторов;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
19;билеты сд;афиша.ру;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
20;билеты сд;кассир;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
21;билеты сд;тикетленд;map_to_metric;map_to_metric;Number of tickets;Number of tickets;;yes;source;Partner split for tickets.
22;Сертификаты (продажи);Сертификаты (продажи);map_to_metric;map_to_metric;Revenue;Revenue;;yes;source;Observed certificate sales block. UPD: treat as revenue only.
23;Сертификаты (продажи);сертификаты электронные;map_to_metric;map_to_metric;Revenue;Revenue;;yes;source;Partner split for certificate revenue. UPD: treat as revenue only.
