metric_key,metric_name,business_unit,show_scope,partner_scope,channel_scope,frequency,source_role,source_system,how_counted,reference_doc,status_note,source_row_ref
account_balance,Account balance,b2b,general,b2b_partner_names,marketing_channel_names,month,primary,planfact,Imported from PlanFact cashflow / balance reference layer,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,78
account_balance,Account balance,b2c_moscow,general,b2c_partner_names,marketing_channel_names,week,primary,manual_table,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/importers/weekly/import_live_weekly_manual_to_fact.py,Mandatory full numeric reference layer: ingest all numeric values from manual tables even when the primary source for the metric is another system.,76
account_balance,Account balance,b2c_moscow,general,b2c_partner_names,marketing_channel_names,month,primary,planfact,Imported from PlanFact cashflow / balance reference layer,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,76
account_balance,Account balance,b2c_spb,general,b2c_partner_names,marketing_channel_names,week,primary,manual_table,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/importers/weekly/import_live_weekly_manual_to_fact.py,Mandatory full numeric reference layer: ingest all numeric values from manual tables even when the primary source for the metric is another system.,77
account_balance,Account balance,b2c_spb,general,b2c_partner_names,marketing_channel_names,month,primary,planfact,Imported from PlanFact cashflow / balance reference layer,/Users/Peter/Documents/Morpheus Metrics/fact/source_access.md,,77
bonuses_2025,Annual bonuses,b2b,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,B2B.xlsx:row_14
bonuses_2025,Annual bonuses,b2c_moscow,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (6).xlsx:row_20
bonuses_2025,Annual bonuses,b2c_spb,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (8).xlsx:row_14
bonuses_2025,Annual bonuses,total,general,general,general,month,primary,planfact,"Imported from monthly PlanFact P&L report workbook by row label, business unit, and month",/Users/Peter/Documents/Morpheus Metrics/docs/planfact_monthly_pnl_fact_ingestion.md,,Отчет о прибылях и убытках по периоду (5).xlsx:row_25
cost_article_expense_direktorskiy_protsent,Cost article - Директорский процент,total,general,general,general,month,primary,google_sheets_monthly_economics_historical,Imported from the historical monthly economics Google Sheet total layer by row label and month,/Users/Peter/Documents/Morpheus Metrics/docs/monthly_metric_history_assembly.md,,211
average_review_rating_overall,Average review rating overall,b2c_moscow,general,general,general,week,primary,manual_table,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/importers/weekly/import_live_weekly_manual_to_fact.py,Mandatory full numeric reference layer: ingest all numeric values from manual tables even when the primary source for the metric is another system.,live_add_metric_moscow_107
