metric_key,metric_name,metric_family,value_kind,description,legacy_mapping_status,legacy_groups_covered,legacy_groups_partial,legacy_group_count_covered,legacy_group_count_partial,legacy_notes_summary
marketing_costs,Marketing costs,marketing,currency,Advertising/marketing spend,covered,Маркетинг Каналы,,1,0,Weekly marketing cost block is already explicitly modeled.
website_visits,Website visits,traffic,count,Site visits,partial_only,,САЙТ; Сайт,0,2,"Core site metrics are covered, but legacy site block contains extra derived ratios. | Core site metrics are covered, but this block also contains legacy special slices."
number_of_leads,Number of leads,sales_funnel,count,Lead count,partial_only,,КОРПОРАТИВЫ; ФРАНШИЗА,0,2,"Lead funnel is covered, but current legacy labels do not map 1-to-1. | Franchise block is partially represented."
number_of_creative_meetings,Number of creative meetings,sales_funnel,count,Creative meetings count,partial_only,,КОРПОРАТИВЫ,0,1,"Lead funnel is covered, but current legacy labels do not map 1-to-1."
number_of_orders,Number of orders,commerce,count,Order count,partial_only,,САЙТ; Сайт,0,2,"Core site metrics are covered, but legacy site block contains extra derived ratios. | Core site metrics are covered, but this block also contains legacy special slices."
number_of_tickets,Number of tickets,commerce,count,Ticket count,covered_and_partial,Всего билетов (выкуплено через сайт и все агрегаторы); билеты; билеты сд,Сайт,3,1,"Ticket count block fits directly. | Ticket total is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_certificates,Number of certificates,commerce,count,Certificate count,partial_only,,Поступления на счет; Сертификаты (продажи),0,2,"Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model. | Certificate count/revenue are covered, but partner/channel decomposition is richer in legacy data."
revenue,Revenue,finance,currency,Revenue / incoming cash depending on source,covered_and_partial,Поступления на счет - B2C,Поступления на счет; САЙТ; Сертификаты (продажи); Франшиза,1,4,"Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model. | Direct revenue aggregate already fits the new model. | Core site metrics are covered, but this block also contains legacy special slices. | Certificate count/revenue are covered, but partner/channel decomposition is richer in legacy data. | Revenue exists in the new model, but legacy franchise group is too narrow and underspecified."
number_of_shows,Number of shows,operations,count,Show count,covered_and_partial,Проведено СД; Проведено шоу (БЕЗ СД),Сайт,2,1,"Show count is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_shows_cancelled,Number of shows cancelled,operations,count,Cancelled show count,covered_and_partial,Отменено СД; Отменено шоу (не СД),Сайт,2,1,"Cancelled show count is covered. | Core site metrics are covered, but legacy site block contains extra derived ratios."
number_of_show_visitors,Number of show visitors,operations,count,Visitors who attended shows,covered_and_partial,Зрители дошедшие (без зрителей СД); Зрители дошедшие СД,Зрители по сертификатам; Сайт,2,2,"Attended visitors are covered. | Visitor concept is covered, but certificate-specific split is not modeled separately. | Core site metrics are covered, but legacy site block contains extra derived ratios."
costs_salary_variable,Costs - Salary variable,costs,currency,Variable salary costs,no_legacy_mapping_found,,,0,0,
costs_salary_fixed,Costs - Salary fixed,costs,currency,Fixed salary costs,no_legacy_mapping_found,,,0,0,
costs_other_by_articles,Costs - Other (by articles),costs,currency,Other costs by accounting articles,no_legacy_mapping_found,,,0,0,
quality_external,Quality - External,quality,score_or_count,External quality / reviews / ratings,partial_only,,ОТЗЫВЫ; ОТЗЫВЫ НА ЯНДЕКСЕ; ФРАНШИЗА,0,3,"External quality is covered, but exact rating/review sub-metrics are richer in legacy data. | Franchise block is partially represented."
quality_internal,Quality - Internal,quality,score_or_count,Internal quality / process / QA metrics,partial_only,,"Количество погибших всего на ОГ; ОКК; ОЦЕНКИ НА ПЛАНШЕТЕ; ПРОТОКОЛ-БОТ; ПРОТОКОЛ-БОТ NEW; Процент ОГ с 1 убийством; Процент ОГ с убийствами; Процент ОГ с убийствами больше 1; Процент ОГ, где зрители вышли за фельдшером/ выжили; Процент ОГ, где зрители не вышли за фельдшером/ не выжили; Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",0,11,"Falls under internal quality/operations, but not yet modeled as a standalone metric family. | Internal QA is covered, but detailed operational sub-metrics are not normalized yet. | Internal quality is covered, but tablet feedback by show is more detailed than the new model. | Internal process quality is covered, but bot-specific sub-metrics are not normalized yet."
source_share,Source share,attribution,ratio_or_count,Traffic / sales source split,covered_and_partial,Откуда пришли,Поступления на счет,1,1,"Source split is explicitly modeled. | Main revenue concept is covered, but many legacy sub-lines are more detailed than the new model."
account_balance,Account balance,finance,currency,Account balance / available cash,covered_and_partial,Средств на счете,Приход с депозита,1,1,"Related to cash/balance, but not a first-class metric in the new model. | Balance metric fits directly."
