section,business_unit,marketing_channel,pnl_node_name,pnl_node_path,parent_pnl_node_path,level,has_children,node_role,mapping_action,canonical_metric,canonical_metric_options,canonical_metric_kind,structure_hint,source_note
Финрезультат,,,Выручка,Выручка,,1,no,observed_rollup,use_existing,Revenue,,existing,Top line revenue,Observed top-line revenue node for the monthly P&L.
Финрезультат,,,Прибыль,Прибыль,,1,no,calculated_formula,use_existing,Operating profit,Revenue - Variable costs - Fixed costs,existing,Derived operating profit,Calculated P&L node: Revenue minus Variable costs minus Fixed costs.
Расходы,,,Переменные,Переменные,,1,yes,observed_rollup,use_existing,Variable costs,,existing,,
Расходы,,,Инвестиции,Переменные > Инвестиции,Переменные,2,yes,observed_rollup,use_existing,Investment costs,,existing,,
Расходы,,,Ремонт в Малом зале,Переменные > Инвестиции > Ремонт в Малом зале,Переменные > Инвестиции,3,no,leaf,use_existing,Cost article - Ремонт в Малом зале,,existing,,
Расходы,,,Новый спектакль,Переменные > Инвестиции > Новый спектакль,Переменные > Инвестиции,3,no,leaf,use_existing,Cost article - Новый спектакль,,existing,,
Расходы,,,ПЕРЕЕЗД,Переменные > Инвестиции > ПЕРЕЕЗД,Переменные > Инвестиции,3,yes,observed_rollup,use_existing,Relocation costs,,existing,,
Расходы,,,Техника,Переменные > Инвестиции > ПЕРЕЕЗД > Техника,Переменные > Инвестиции > ПЕРЕЕЗД,4,no,leaf,use_existing,Cost article - Техника,,existing,Relocation costs,
Расходы,,,Свет/Мебель/Предметы интерьера,Переменные > Инвестиции > ПЕРЕЕЗД > Свет/Мебель/Предметы интерьера,Переменные > Инвестиции > ПЕРЕЕЗД,4,no,leaf,use_existing,Cost article - Свет/Мебель/Предметы интерьера,,existing,Relocation costs,
Расходы,,,Ремонт/Стройка/Стройматериалы,Переменные > Инвестиции > ПЕРЕЕЗД > Ремонт/Стройка/Стройматериалы,Переменные > Инвестиции > ПЕРЕЕЗД,4,no,leaf,use_existing,Cost article - Ремонт/Стройка/Стройматериалы,,existing,Relocation costs,
Расходы,,,ФОТ - Переменные,Переменные > ФОТ - Переменные,Переменные,2,yes,observed_rollup,use_existing,Costs - Salary variable,,existing,,
