dashboard_key,dashboard_name,tool,dashboard_id,status,audience,access_scope,owner,collection_or_folder,primary_serving_layer,reusable_views,reusable_scripts,metric_modeling_decision,notes,source_doc,last_reviewed_on
weekly-metrics-yoy,Weekly Metrics YoY,metabase,3,deprecated,ops,public,peter.kopylov@gmail.com,Общедоступные/Archive,view,weekly_fact_metrics_dashboard_base;sibling_yoy_views,create_metabase_weekly_metrics_dashboard.py;rebuild_weekly_fact_metrics_yoy_views.py,reused_existing,Legacy weekly YoY baseline archived as an older duplicate; dashboard moved to Archive and its cards hidden in Tech.,docs/external_apis/metabase.md,2026-05-31
moscow-weekly-metrics-charts,Moscow Weekly Metrics Charts,metabase,4,deprecated,ops,public,peter.kopylov@gmail.com,Общедоступные/Archive,view,legacy_weekly_dashboard_views,,reused_existing,Legacy Moscow weekly charts dashboard archived as an older duplicate; dashboard moved to Archive and its cards hidden in Tech.,docs/external_apis/metabase.md,2026-05-31
spb-weekly-metrics-charts,SPB Weekly Metrics Charts,metabase,5,deprecated,ops,public,peter.kopylov@gmail.com,Общедоступные/Archive,view,legacy_weekly_dashboard_views,,reused_existing,Legacy SPB weekly charts dashboard archived as an older duplicate; dashboard moved to Archive and its cards hidden in Tech.,docs/external_apis/metabase.md,2026-05-31
weekly-metrics-latest-comparison,Weekly Metrics Latest Comparison,metabase,7,active,ops,public,peter.kopylov@gmail.com,Общедоступные,view,weekly_fact_metrics_latest_comparison;weekly_fact_metrics_dashboard_base,create_metabase_weekly_latest_comparison_dashboard.py;rebuild_weekly_fact_metrics_yoy_views.py,reused_existing,Latest week comparison dashboard for Moscow and SPB built on serving views; dashboard moved to the shared folder and its cards hidden in Tech.,docs/external_apis/metabase.md,2026-05-31
temp-show-seance-buyout,TEMP Выкупленность по сеансам — Поезд, Чехов, два орла,metabase,14,prototype,ops,public,peter.kopylov@gmail.com,Общедоступные,view,tmp_erp_show_seance_buyout_snapshot,create_metabase_tmp_erp_show_seance_buyout_dashboard.py,view_only,Temporary operational prototype pending a more general warehouse layer; dashboard moved to the shared folder and its cards hidden in Tech.,docs/metabase_show_seance_buyout_dashboard.md,2026-05-31
weekly-metrics-yoy-fact,Weekly Metrics YoY (fact),metabase,16,active,ops,public,peter.kopylov@gmail.com,Общедоступные,view,weekly_fact_metrics_dashboard_base;sibling_yoy_views,create_metabase_weekly_metrics_dashboard.py;rebuild_weekly_fact_metrics_yoy_views.py,reused_existing,Fact-based YoY dashboard using reusable weekly fact serving views; dashboard moved to the shared folder and its cards hidden in Tech.,docs/external_apis/metabase.md,2026-05-31
moscow-weekly-metrics-charts-fact,Moscow Weekly Metrics Charts (fact),metabase,17,active,ops,public,peter.kopylov@gmail.com,Общедоступные,view,weekly_fact_metrics_dashboard_base,create_metabase_weekly_metrics_dashboard.py;rebuild_weekly_fact_metrics_yoy_views.py,reused_existing,Fact-based Moscow weekly charts dashboard moved to the shared folder and its cards hidden in Tech.,docs/external_apis/metabase.md,2026-05-31
spb-weekly-metrics-charts-fact,SPB Weekly Metrics Charts (fact),metabase,18,active,ops,public,peter.kopylov@gmail.com,Общедоступные,view,weekly_fact_metrics_dashboard_base,create_metabase_weekly_metrics_dashboard.py;rebuild_weekly_fact_metrics_yoy_views.py,reused_existing,Fact-based SPB weekly charts dashboard moved to the shared folder and its cards hidden in Tech.,docs/external_apis/metabase.md,2026-05-31
fact-ingestion-technical-monitor,Fact Ingestion Technical Monitor,metabase,23,active,ops,restricted,peter.kopylov@gmail.com,Общедоступные/Tech,view,fact_ingestion_technical_monitor,create_metabase_fact_ingestion_technical_dashboard.py;rebuild_fact_ingestion_technical_monitor_view.py,new_view,Technical reliability monitor by ingestion date with weekly/monthly and manual/automated breakdown plus amo/erp/yandex load-percentage columns.,serving/dashboards/fact_ingestion_technical_monitor.md,2026-06-09
weekly-marketing-operational-monitor,Weekly Marketing Operational Monitor,metabase,20,active,all company,public,peter.kopylov@gmail.com,Общедоступные,mixed,weekly_marketing_operational_latest,scripts/serving/create_metabase_weekly_marketing_operational_dashboard.py;scripts/serving/rebuild_weekly_marketing_operational_view.py,mixed,Reusable DRR moved to calculated layer; dashboard shape stays in a weekly serving view. Added canonical Website orders, Metrica tracked orders, estimated channel orders, survey-share mapping, and dashboard-specific composite Revenue with Revenue method. Partner commission stays in calculated; the serving view rolls it up for the partners cost row without writing it back into fact. Dashboard uses a top period card, one combined Moscow/SPB table, user-selectable period range filters, aggregated period rollups, hidden zero tracked/estimated channel-order cells, and hidden empty channel rows. Performance revenue is sourced from Yandex Metrica favorite-goals converted RUB revenue using automatic attribution for Yandex Direct plus Yandex Direct: Undetermined; Direct remains source of costs only. Dashboard stays in the shared folder and its cards are hidden in Tech.,serving/dashboards/weekly_marketing_operational_dashboard.md,2026-06-02
