period_start,metric_name,business_unit,value_numeric,note
2025-07-01,Costs - Salary fixed,b2c_moscow,125000,"Director salary allocation: Moscow 50% of 250k monthly"
2025-07-01,Costs - Salary fixed,b2c_spb,75000,"Director salary allocation: SPB 30% of 250k monthly"
2025-07-01,Costs - Salary fixed,b2b,50000,"Director salary allocation: B2B 20% of 250k monthly"
2025-08-01,Costs - Salary fixed,b2c_moscow,125000,"Director salary allocation: Moscow 50% of 250k monthly"
2025-08-01,Costs - Salary fixed,b2c_spb,75000,"Director salary allocation: SPB 30% of 250k monthly"
2025-08-01,Costs - Salary fixed,b2b,50000,"Director salary allocation: B2B 20% of 250k monthly"
2025-09-01,Costs - Salary fixed,b2c_moscow,125000,"Director salary allocation: Moscow 50% of 250k monthly"
2025-09-01,Costs - Salary fixed,b2c_spb,75000,"Director salary allocation: SPB 30% of 250k monthly"
2025-09-01,Costs - Salary fixed,b2b,50000,"Director salary allocation: B2B 20% of 250k monthly"
2025-10-01,Costs - Salary fixed,b2c_moscow,125000,"Director salary allocation: Moscow 50% of 250k monthly"
2025-10-01,Costs - Salary fixed,b2c_spb,75000,"Director salary allocation: SPB 30% of 250k monthly"
2025-10-01,Costs - Salary fixed,b2b,50000,"Director salary allocation: B2B 20% of 250k monthly"
2025-11-01,Costs - Salary fixed,b2c_moscow,125000,"Director salary allocation: Moscow 50% of 250k monthly"
2025-11-01,Costs - Salary fixed,b2c_spb,75000,"Director salary allocation: SPB 30% of 250k monthly"
2025-11-01,Costs - Salary fixed,b2b,50000,"Director salary allocation: B2B 20% of 250k monthly"
2025-12-01,Costs - Salary fixed,b2c_moscow,125000,"Director salary allocation: Moscow 50% of 250k monthly"
2025-12-01,Costs - Salary fixed,b2c_spb,75000,"Director salary allocation: SPB 30% of 250k monthly"
2025-12-01,Costs - Salary fixed,b2b,50000,"Director salary allocation: B2B 20% of 250k monthly"
2025-07-01,Other expenses,general,810000,"Manual historical adjustment: general other expenses for July 2025"
