metric_name,business_unit,show_scope,partner_scope,channel_scope,frequency,source_role,source_system,where_from,how_counted,reference_doc,status_note,source_row_ref
Account balance,b2b,general,b2b_partner_names,marketing_channel_names,month,primary,planfact,PlanFact reference layer,Imported from PlanFact cashflow / balance reference layer,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,78
Account balance,b2c_moscow,general,b2c_partner_names,marketing_channel_names,week,primary,manual_table,Legacy weekly Google Sheets / fact_metrics,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/import_live_weekly_manual_to_fact.py,,76
Account balance,b2c_moscow,general,b2c_partner_names,marketing_channel_names,month,primary,planfact,PlanFact reference layer,Imported from PlanFact cashflow / balance reference layer,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,76
Account balance,b2c_spb,general,b2c_partner_names,marketing_channel_names,week,primary,manual_table,Legacy weekly Google Sheets / fact_metrics,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/import_live_weekly_manual_to_fact.py,,77
Account balance,b2c_spb,general,b2c_partner_names,marketing_channel_names,month,primary,planfact,PlanFact reference layer,Imported from PlanFact cashflow / balance reference layer,/Users/Peter/Documents/Morpheus Metrics/docs/fact_layer_source_access.md,,77
Average review rating overall,b2c_moscow,general,general,general,week,primary,manual_table,Legacy weekly Google Sheets / fact_metrics,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/import_live_weekly_manual_to_fact.py,,live_add_metric_moscow_107
Average review rating overall,b2c_spb,general,general,general,week,primary,manual_table,Legacy weekly Google Sheets / fact_metrics,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/import_live_weekly_manual_to_fact.py,,live_add_metric_spb_64
Average review rating weekly genuine,b2c_moscow,general,general,general,week,primary,manual_table,Legacy weekly Google Sheets / fact_metrics,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/import_live_weekly_manual_to_fact.py,,live_add_metric_moscow_103
Average review rating weekly genuine,b2c_spb,general,general,general,week,primary,manual_table,Legacy weekly Google Sheets / fact_metrics,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/import_live_weekly_manual_to_fact.py,,live_add_metric_spb_60
Average review rating weekly overall,b2c_moscow,general,general,general,week,primary,manual_table,Legacy weekly Google Sheets / fact_metrics,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/import_live_weekly_manual_to_fact.py,,live_add_metric_moscow_102
Average review rating weekly overall,b2c_spb,general,general,general,week,primary,manual_table,Legacy weekly Google Sheets / fact_metrics,Parsed from live weekly Google Sheets via fact_metrics and import_live_weekly_manual_to_fact.py with v3 ingestion plans,/Users/Peter/Documents/Morpheus Metrics/scripts/import_live_weekly_manual_to_fact.py,,live_add_metric_spb_59
