metric_key,metric_name,metric_family,value_kind,description
account_balance,Account balance,finance,currency,Account balance / available cash
actor_upsell_sales,Actor upsell sales,commerce,currency,Revenue from actor upsells / post-show sales.
average_review_rating_overall,Average review rating overall,reviews,score,Overall average review rating.
average_review_rating_weekly_genuine,Average review rating weekly genuine,reviews,score,"Average review rating for the week, genuine reviews only."
average_review_rating_weekly_overall,Average review rating weekly overall,reviews,score,"Average review rating for the week, all reviews."
average_review_rating_weekly_without_negatives_after_resolution,Average review rating weekly without negatives after resolution,reviews,score,Average review rating for the week excluding negatives after resolution.
bonuses_2025,Annual bonuses,costs,currency,Annual bonuses subtotal from the monthly P&L report.
business_travel_costs,Business travel costs,costs,currency,Business-travel subtotal from historical economics sheets.
cost_article_expense_rashody_agentskie,Cost article - Агентские,costs,currency,Agent fees expense article from the monthly P&L report.
cost_article_expense_direktorskiy_protsent,Cost article - Директорский процент,costs_article,currency,Historical monthly economics cost article: director percentage / owner distribution used in total P&L bridge.
cost_article_expense_rashody_agentskie_komissiya,Cost article - Комиссия,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Агентские/Комиссия
cost_article_expense_rashody_dlya_spektakley_rekvizit_kostyumy,Cost article - Реквизит/костюмы,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Для спектаклей/Реквизит/костюмы
cost_article_expense_rashody_dlya_spektakley_teh_osnaschenie,Cost article - Тех оснащение,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Для спектаклей/Тех оснащение
cost_article_expense_rashody_drugoe,Cost article - Другое,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Другое
cost_article_expense_rashody_fot_administrativnyy_personal_fot,Cost article - Административный персонал ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Административный персонал ФОТ
cost_article_expense_rashody_fot_aktery_fot,Cost article - Актёры ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Актёры ФОТ
cost_article_expense_rashody_fot_drugoe_fot,Cost article - Другое ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Другое ФОТ
cost_article_expense_rashody_fot_it_fot,Cost article - IT ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/IT ФОТ
cost_article_expense_rashody_fot_korporativy_fiks,Cost article - Корпоративы фикс,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Корпоративы фикс
cost_article_expense_rashody_fot_upravlencheskiy_personal_fot,Cost article - Управленческий персонал ФОТ,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ФОТ/Управленческий персонал ФОТ
cost_article_expense_rashody_komandnye_komandirovochnye,Cost article - Командировочные,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Командировочные
cost_article_expense_rashody_komandnye_predstavitelskie,Cost article - Представительские,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Представительские
cost_article_expense_rashody_komandnye_prozhivanie,Cost article - Проживание,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Проживание
cost_article_expense_rashody_komandnye_transport,Cost article - Транспорт,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Командные/Транспорт
cost_article_expense_rashody_logistika_dostavka,Cost article - Доставка,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Логистика/Доставка
cost_article_expense_rashody_logistika_taksi,Cost article - Такси,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Логистика/Такси
cost_article_expense_rashody_neraspredelennyy_rashod,Cost article - Нераспределенный расход,costs_article,currency,PlanFact monthly expense article: expense/Расходы/Нераспределенный расход
cost_article_expense_rashody_pereezd_remont_stroyka_stroymaterialy,Cost article - Ремонт/Стройка/Стройматериалы,costs_article,currency,PlanFact monthly expense article: expense/Расходы/ПЕРЕЕЗД/Ремонт/Стройка/Стройматериалы
